ASSAY,STRAIN,CONDITION,BACKGROUND,ROUND,DAY,PLATE,REP,STACK.ORDER,FLOW.RUN,BLOCK,ROW,COLUMN,WELL,POSITION,FILENAMES
PFY1,CTRL,CTRL,Y1916,2,09232016,P7,R1,1,1,ABCD,A,1,A1,A01,E:/wittkopp data/raw data/PFY1/Round2/PFY1-Analysis 1-P7R1.ABCD/Well_A01.fcs
PFY1,PFY1.SHAM.P7.A2,SHAM,Y1916,2,09232016,P7,R1,1,1,ABCD,A,2,A2,A02,E:/wittkopp data/raw data/PFY1/Round2/PFY1-Analysis 1-P7R1.ABCD/Well_A02.fcs
PFY1,PFY1.P7.A3,EMS,Y1916,2,09232016,P7,R1,1,1,ABCD,A,3,A3,A03,E:/wittkopp data/raw data/PFY1/Round2/PFY1-Analysis 1-P7R1.ABCD/Well_A03.fcs
PFY1,PFY1.P7.A4,EMS.HIGH,Y1916,2,09232016,P7,R1,1,1,ABCD,A,4,A4,A04,E:/wittkopp data/raw data/PFY1/Round2/PFY1-Analysis 1-P7R1.ABCD/Well_A04.fcs
PFY1,PFY1.P7.A5,EMS.LOW,Y1916,2,09232016,P7,R1,1,1,ABCD,A,5,A5,A05,E:/wittkopp data/raw data/PFY1/Round2/PFY1-Analysis 1-P7R1.ABCD/Well_A05.fcs
PFY1,CTRL,CTRL,Y1916,2,09232016,P7,R1,1,1,ABCD,A,6,A6,A06,E:/wittkopp data/raw data/PFY1/Round2/PFY1-Analysis 1-P7R1.ABCD/Well_A06.fcs
PFY1,PFY1.P7.A7,EMS.LOW,Y1916,2,09232016,P7,R1,1,1,ABCD,A,7,A7,A07,E:/wittkopp data/raw data/PFY1/Round2/PFY1-Analysis 1-P7R1.ABCD/Well_A07.fcs
PFY1,CTRL,CTRL,Y1916,2,09232016,P7,R1,1,1,ABCD,A,8,A8,A08,E:/wittkopp data/raw data/PFY1/Round2/PFY1-Analysis 1-P7R1.ABCD/Well_A08.fcs
PFY1,PFY1.P7.A9,EMS,Y1916,2,09232016,P7,R1,1,1,ABCD,A,9,A9,A09,E:/wittkopp data/raw data/PFY1/Round2/PFY1-Analysis 1-P7R1.ABCD/Well_A09.fcs
PFY1,PFY1.P7.A10,EMS.LOW,Y1916,2,09232016,P7,R1,1,1,ABCD,A,10,A10,A10,E:/wittkopp data/raw data/PFY1/Round2/PFY1-Analysis 1-P7R1.ABCD/Well_A10.fcs
PFY1,PFY1.P7.A11,EMS,Y1916,2,09232016,P7,R1,1,1,ABCD,A,11,A11,A11,E:/wittkopp data/raw data/PFY1/Round2/PFY1-Analysis 1-P7R1.ABCD/Well_A11.fcs
PFY1,TDH3.SHAM.P7.A12,TDH3.SHAM,Y1139,2,09232016,P7,R1,1,1,ABCD,A,12,A12,A12,E:/wittkopp data/raw data/PFY1/Round2/PFY1-Analysis 1-P7R1.ABCD/Well_A12.fcs
PFY1,PFY1.SHAM.P7.B1,SHAM,Y1916,2,09232016,P7,R1,1,1,ABCD,B,1,B1,B01,E:/wittkopp data/raw data/PFY1/Round2/PFY1-Analysis 1-P7R1.ABCD/Well_B01.fcs
PFY1,PFY1.P7.B2,EMS,Y1916,2,09232016,P7,R1,1,1,ABCD,B,2,B2,B02,E:/wittkopp data/raw data/PFY1/Round2/PFY1-Analysis 1-P7R1.ABCD/Well_B02.fcs
PFY1,TDH3.SHAM.P7.B3,TDH3.SHAM,Y1139,2,09232016,P7,R1,1,1,ABCD,B,3,B3,B03,E:/wittkopp data/raw data/PFY1/Round2/PFY1-Analysis 1-P7R1.ABCD/Well_B03.fcs
PFY1,CTRL,CTRL,Y1916,2,09232016,P7,R1,1,1,ABCD,B,4,B4,B04,E:/wittkopp data/raw data/PFY1/Round2/PFY1-Analysis 1-P7R1.ABCD/Well_B04.fcs
PFY1,PFY1.P7.B5,EMS,Y1916,2,09232016,P7,R1,1,1,ABCD,B,5,B5,B05,E:/wittkopp data/raw data/PFY1/Round2/PFY1-Analysis 1-P7R1.ABCD/Well_B05.fcs
PFY1,PFY1.P7.B6,EMS.HIGH,Y1916,2,09232016,P7,R1,1,1,ABCD,B,6,B6,B06,E:/wittkopp data/raw data/PFY1/Round2/PFY1-Analysis 1-P7R1.ABCD/Well_B06.fcs
