ASSAY,STRAIN,CONDITION,BACKGROUND,ROUND,DAY,PLATE,REP,STACK.ORDER,FLOW.RUN,BLOCK,ROW,COLUMN,WELL,POSITION,FILENAMES
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,1,ABCD,A,1,A1,A01,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_A01.fcs
RNR1,RNR1.SHAM.P1.A2,SHAM,Y1913,2,09272016,P1,R1,1,1,ABCD,A,2,A2,A02,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_A02.fcs
RNR1,RNR1.P1.A3,EMS,Y1913,2,09272016,P1,R1,1,1,ABCD,A,3,A3,A03,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_A03.fcs
RNR1,RNR1.P1.A4,EMS.HIGH,Y1913,2,09272016,P1,R1,1,1,ABCD,A,4,A4,A04,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_A04.fcs
RNR1,RNR1.P1.A5,EMS.LOW,Y1913,2,09272016,P1,R1,1,1,ABCD,A,5,A5,A05,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_A05.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,1,ABCD,A,6,A6,A06,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_A06.fcs
RNR1,RNR1.P1.A7,EMS.LOW,Y1913,2,09272016,P1,R1,1,1,ABCD,A,7,A7,A07,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_A07.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,1,ABCD,A,8,A8,A08,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_A08.fcs
RNR1,RNR1.P1.A9,EMS,Y1913,2,09272016,P1,R1,1,1,ABCD,A,9,A9,A09,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_A09.fcs
RNR1,RNR1.P1.A10,EMS.LOW,Y1913,2,09272016,P1,R1,1,1,ABCD,A,10,A10,A10,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_A10.fcs
RNR1,RNR1.P1.A11,EMS,Y1913,2,09272016,P1,R1,1,1,ABCD,A,11,A11,A11,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_A11.fcs
RNR1,TDH3.SHAM.P1.A12,TDH3.SHAM,Y1139,2,09272016,P1,R1,1,1,ABCD,A,12,A12,A12,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_A12.fcs
RNR1,RNR1.SHAM.P1.B1,SHAM,Y1913,2,09272016,P1,R1,1,1,ABCD,B,1,B1,B01,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_B01.fcs
RNR1,RNR1.P1.B2,EMS,Y1913,2,09272016,P1,R1,1,1,ABCD,B,2,B2,B02,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_B02.fcs
RNR1,TDH3.SHAM.P1.B3,TDH3.SHAM,Y1139,2,09272016,P1,R1,1,1,ABCD,B,3,B3,B03,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_B03.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,1,ABCD,B,4,B4,B04,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_B04.fcs
RNR1,RNR1.P1.B5,EMS,Y1913,2,09272016,P1,R1,1,1,ABCD,B,5,B5,B05,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_B05.fcs
RNR1,RNR1.P1.B6,EMS.HIGH,Y1913,2,09272016,P1,R1,1,1,ABCD,B,6,B6,B06,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_B06.fcs
RNR1,RNR1.P1.B7,EMS,Y1913,2,09272016,P1,R1,1,1,ABCD,B,7,B7,B07,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_B07.fcs
RNR1,RNR1.P1.B8,EMS,Y1913,2,09272016,P1,R1,1,1,ABCD,B,8,B8,B08,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_B08.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,1,ABCD,B,9,B9,B09,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_B09.fcs
RNR1,RNR1.P1.B10,EMS,Y1913,2,09272016,P1,R1,1,1,ABCD,B,10,B10,B10,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_B10.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,1,ABCD,B,11,B11,B11,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_B11.fcs
RNR1,RNR1.P1.B12,EMS.LOW,Y1913,2,09272016,P1,R1,1,1,ABCD,B,12,B12,B12,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_B12.fcs
RNR1,RNR1.P1.C1,EMS.LOW,Y1913,2,09272016,P1,R1,1,1,ABCD,C,1,C1,C01,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_C01.fcs
RNR1,RNR1.P1.C2,EMS.HIGH,Y1913,2,09272016,P1,R1,1,1,ABCD,C,2,C2,C02,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_C02.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,1,ABCD,C,3,C3,C03,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_C03.fcs
RNR1,RNR1.P1.C4,EMS,Y1913,2,09272016,P1,R1,1,1,ABCD,C,4,C4,C04,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_C04.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,1,ABCD,C,5,C5,C05,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_C05.fcs
RNR1,TDH3.SHAM.P1.C6,TDH3.SHAM,Y1139,2,09272016,P1,R1,1,1,ABCD,C,6,C6,C06,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_C06.fcs
RNR1,RNR1.P1.C7,EMS.HIGH,Y1913,2,09272016,P1,R1,1,1,ABCD,C,7,C7,C07,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_C07.fcs
RNR1,RNR1.P1.C8,EMS.LOW,Y1913,2,09272016,P1,R1,1,1,ABCD,C,8,C8,C08,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_C08.fcs
RNR1,RNR1.P1.C9,EMS,Y1913,2,09272016,P1,R1,1,1,ABCD,C,9,C9,C09,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_C09.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,1,ABCD,C,10,C10,C10,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_C10.fcs
RNR1,RNR1.SHAM.P1.C11,SHAM,Y1913,2,09272016,P1,R1,1,1,ABCD,C,11,C11,C11,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_C11.fcs
RNR1,RNR1.P1.C12,EMS,Y1913,2,09272016,P1,R1,1,1,ABCD,C,12,C12,C12,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_C12.fcs
RNR1,TDH3.SHAM.P1.D1,TDH3.SHAM,Y1139,2,09272016,P1,R1,1,1,ABCD,D,1,D1,D01,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_D01.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,1,ABCD,D,2,D2,D02,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_D02.fcs
RNR1,RNR1.P1.D3,EMS,Y1913,2,09272016,P1,R1,1,1,ABCD,D,3,D3,D03,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_D03.fcs
RNR1,RNR1.P1.D4,EMS.LOW,Y1913,2,09272016,P1,R1,1,1,ABCD,D,4,D4,D04,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_D04.fcs
RNR1,RNR1.P1.D5,EMS,Y1913,2,09272016,P1,R1,1,1,ABCD,D,5,D5,D05,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_D05.fcs
RNR1,RNR1.SHAM.P1.D6,SHAM,Y1913,2,09272016,P1,R1,1,1,ABCD,D,6,D6,D06,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_D06.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,1,ABCD,D,7,D7,D07,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_D07.fcs
RNR1,RNR1.P1.D8,EMS,Y1913,2,09272016,P1,R1,1,1,ABCD,D,8,D8,D08,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_D08.fcs
RNR1,RNR1.P1.D9,EMS.HIGH,Y1913,2,09272016,P1,R1,1,1,ABCD,D,9,D9,D09,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_D09.fcs
RNR1,NULL,NULL,Y978,2,09272016,P1,R1,1,1,ABCD,D,10,D10,D10,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_D10.fcs
